Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,A filter variable that is used to decide if entry is in the smaller resume. 
section,title,loc,institution,start,end,description_1,description_2,description_3,in_resume
education,"B.S., Biochemistry and Molecular Biology",University of Queensland,"Brisbane, Queensland, Australia",2012,2015,,,,TRUE
education,"B.S., Honours",Australian Centre for Ecogenomics,University of Queensland,2015,2016,Investigating bacterial chemotaxis towards marine pollutants,1st Class,,TRUE
education,"DPhil Candidate, Microbiology",University of Oxford,"Oxford, United Kingdom",2016,current,Role and regulation of chemotaxis and motility in _Rhizobium leguminosarum_,Interdisciplinary Bioscience Doctoral Training Partnership (BBSRC),,FALSE
research_positions,Undergraduate Researcher,Queensland Alliance for Agriculture and Food Innovation,University of Queensland,2013,2013,"Testing the amount and structure of glycogen in mouse livers at different times after eating through an assay, size-exclusion chromatography and transmission electron microscopy of extracted glycogen.",,,FALSE
research_positions,Research Assistant,Queensland Alliance for Agriculture and Food Innovation,University of Queensland,2014,2014,Comparing the glycogen extracted through the traditional sucrose-gradient method to that extracted from formalin fixed samples.,,,FALSE
research_positions,Undergraduate Researcher,Centre for Advanced Imaging,University of Queensland,2015,2015,Writing code in R to estimate individual false-discovery rates across NMR metabolomics data split into columns along the ppm. ,"This allows the amelioration of the multiple testings problem, without relying on a uniform FDR assumption.  ",,FALSE
research_positions,Metagenomics Researcher,Australian Centre for Ecogenomics,University of Queensland,2015,2016,"Using the newly developed in-situ chemotaxis assay (ISCA) device to capture bacteria that display chemotaxis towards environmentally relevant compounds, including poly(ethylene terephthalate) degradation products and pesticides (diuron and atrazine). ",Then analysing the captured microbes using culture-independent methods (e.g. 16S rRNA gene amplicon and metagenomics) to provide the microbial population attracted by each individual chemoattractant and their metabolic potential.  ,,TRUE
research_positions,Graduate Research Assistant,Australian Centre for Ecogenomics,University of Queensland,2016,2016,Comparing 1µL sea water samples before and after homogenisation to provide metagenomic data of the microheterogeneity of microbial life at such volumes. ,,,FALSE
research_positions,Synthetic Biology Researcher,Philip Poole Laboratory,"Department of Plant Sciences, University of Oxford",2017,2017,Characterising nitrogen-fixation ability of Pseudomonas stutzeri and genetically modified Pseudomonas fluorescens Pf-5 and SBW25. ,,,FALSE
research_positions,Plant Biochemistry Researcher,Andrew Smith Laboratory,"Department of Plant Sciences, University of Oxford",2017,2017,Sequencing Portulaca oleracea with Oxford Nanopore MinION technology. This plant performs both CAM and C4 photosynthesis. ,Extracted and analysed the activity of various phosphoenolpyruvate carboxylases from C3 and CAM photosynthetic plants. ,,FALSE
research_positions,Rhizobial Motility Researcher,Philip Poole Laboratory,"Department of Plant Sciences, University of Oxford",2017,current,Determining the role of flagellar-based motility and chemotaxis in the symbiosis of Rhizobium leguminosarum with Pisum sativum (pea). ,"Characterising the influence of the metabolic potential of the environment, especially through the phosphor-transferase system, on its swimming ability. ",,TRUE
research_positions,Software Development Intern,The Zooniverse,University of Oxford,2019,2019,"Software development for The Zooniverse, a community science website. ","Primarily involved in developing a [GraphQL based statistical database](https://github.com/zooniverse/zoo-stats-api-graphql) of users and visitors to the website in Ruby, Bash and Python.",,TRUE
research_positions,Graduate Safety Representative,Department of Plant Sciences,University of Oxford,2019,2020,Departmental Graduate safety representative for Safety committee meetings and graduate student contact.,This involved managing the Department's response to the COVID-19 crisis and determining the safest way to return to work.,,FALSE
teaching_positions,"Inorganic, physical and organic chemistry",School of Chemistry and Molecular Biology,University of Queensland,2014,2015,"1st Year inorganic, physical and organic chemistry (CHEM1090/CHEM1100) peer-assisted study sessions.",,,FALSE
teaching_positions,Chemistry and Statistics tutoring,Faculty of Science,University of Queensland,2014,2015,Drop-in tutoring at the Science Learning Centre for 1st Year Chemistry and Statistics.,,,FALSE
teaching_positions,Analysis of Scientific Data,Faculty of Science,University of Queensland,2015,2016,"Demonstrating for Analysis of Scientific Data (STAT1201), focussing on experimental design, data modelling and statistics.",,,FALSE
teaching_positions,Programming for Life Scientists,Doctoral Training Centre,University of Oxford,2017,2019,Demonstrating for the programming module using the languages Python and C.,,,TRUE
teaching_positions,Plants and People,Department of Plant Sciences,University of Oxford,2019,2019,Tutorials about the role of motility and chemotaxis in the soil and in the rhizobium-legume symbiosis.,,,FALSE
teaching_positions,_In vitro_ enzyme kinetics,Department of Plant Sciences,University of Oxford,2019,2020,Demonstrating for _In vitro_ enzyme kinetics practical focussing on the kinetics of alcohol dehydrogenase.,,,FALSE
academic_articles,[Changes in Glycogen Structure over Feeding Cycle Sheds New Light on Blood-Glucose Control](https://doi.org/10.1021/bm401714v),Biomacromolecules,,2014,2014,"Authored with Mitchell A. Sullivan, Shihan Li,  Frederick J. Warren, Jin Suk Joo, Ka Sin Mak, David I. Stapleton, Kim S. Bell-Anderson, and Robert G. Gilbert.",,,TRUE
academic_articles,[A Rapid Extraction Method for Glycogen from Formalin-fixed Liver](https://doi.org/10.1016/j.carbpol.2014.11.005),Carbohydrate Polymers,,2015,2015,"Authored with Mitchell A. Sullivan, Shihan Li,  Bin Deng, Cheng Li, Eugeni Roura, Benjamin L Schulz, Brooke E Harcourt, Josephine M Forbes and Robert G Gilbert.",,,TRUE
academic_articles,Strategically navigating through the soil: the integrated sensory systems of the legume symbiont Rhizobium leguminosarum,Sensory Transduction in Microorganisms,"Ventura, CA",2020,2020,Presentation and Poster for GRC/GRS conference on sensory systems of microorganisms.,,,
academic_articles,[Lifestyle adaptations of Rhizobium from rhizosphere to symbiosis](https://doi.org/10.1101/2020.05.07.082560),Under-Review (copy available upon request.),,2020,2020,"Authored with Rachel M. Wheatley, Brandon L. Ford, Li Li, Hayley E. Knights, Raphael Ledermann, Alison K. East, Vinoy K. Ramachandran and Philip S. Poole.",,,TRUE
public_engagement,Inside Cells Day,Museum of Natural History,"Oxford, United Kingdom",2017,2017,Presentation about 'Fertilizers and the Environment' to A-level High School Students.,,,FALSE
public_engagement,Super Science Saturday: People and Planet,Museum of Natural History,"Oxford, United Kingdom",2018,2018,Organizing and running 'Root-nodules' stall for families.,,,FALSE
public_engagement,Perspectives,Oxford University Press,"Oxford, United Kingdom",2020,2020,"Interviewed about the underwater agricultural research centre, Nemo's Garden, for a series of videos on Perspectives.",,,FALSE
awards,UQ Excellence Scholarship ,University of Queensland,"Brisbane, Queensland, Australia",2012,2015,,,,
awards,UQ Summer Research Scholarship,University of Queensland,"Brisbane, Queensland, Australia",2012,2013,,,,
awards,UQ Summer Research Scholarship,University of Queensland,"Brisbane, Queensland, Australia",2013,2014,,,,
awards,UQ Honours Scholarship ,University of Queensland,"Brisbane, Queensland, Australia",2015,2016,,,,
awards,Brasenose Oxford-Australia Clarendon Scholarship,University of Oxford,"Oxford, United Kingdom",2016,2020,,,,
awards,Brasenose Studentship Fund,University of Oxford,"Oxford, United Kingdom",2020,2020,,,,
awards,Vice-Chancellor's Education Award,University of Oxford,"Oxford, United Kingdom",2020,2020,Programming for Life Scientists received the award particularly with its focus on giving a highly diverse cohort with mixed experience and backgrounds a solid foundation to begin doctoral research science.,,,
